Position,Username,Score,Submits,Last Submit
1,MatiMoreyra,3.7774099999999997,20,2021-08-04 00:55:02 UTC
2,LeonSilva,4.32736,4,2021-08-03 05:20:31 UTC
3,mateuskiper,4.54752,13,2021-08-05 12:46:30 UTC
4,leandroroser,4.55279,21,2021-08-05 03:08:02 UTC
5,Rogerup,4.60337,48,2021-08-04 21:54:13 UTC
6,amanhard,4.60962,12,2021-08-05 21:12:48 UTC
7,ekamioka,4.64347,3,2021-08-05 23:25:33 UTC
8,jcnok,4.645230000000001,2,2021-08-03 13:08:57 UTC
9,rhg,4.6915,42,2021-08-03 22:39:44 UTC
10,fabiojunior,4.83477,6,2021-08-05 18:46:57 UTC
11,marking,4.91248,7,2021-08-05 00:28:35 UTC
12,glissa,4.9341099999999996,1,2021-08-05 23:27:06 UTC
13,tmprota,5.04117,3,2021-07-29 23:55:55 UTC
14,wittmannf,5.07354,3,2021-08-05 19:24:51 UTC
15,mikaelsouza,5.07354,1,2021-08-05 22:42:41 UTC
16,nicalvarez,5.07354,3,2021-08-05 23:35:36 UTC
17,lhzp,5.07969,3,2021-07-19 20:50:46 UTC
18,ricardo.ferreras,5.08816,11,2021-08-01 13:09:42 UTC
19,adson,5.11068,1,2021-07-20 01:31:00 UTC
20,igorkf,5.123,17,2021-08-03 22:30:52 UTC
21,wonderw,5.13169,1,2021-07-15 19:46:08 UTC
22,danielph,5.13169,1,2021-07-16 20:55:11 UTC
23,haroldgarcia94,5.13169,1,2021-07-20 04:29:46 UTC
24,mpasqualini,5.13169,1,2021-07-20 18:28:05 UTC
25,sjlva,5.13169,1,2021-07-21 16:36:55 UTC
26,lgodoy,5.13169,1,2021-07-21 18:44:08 UTC
27,Fabricio,5.13169,1,2021-07-22 23:07:26 UTC
28,santik,5.13169,4,2021-07-23 18:43:34 UTC
29,fabiancpl,5.13169,1,2021-07-24 14:23:57 UTC
30,toro366,5.13169,1,2021-07-26 14:53:03 UTC
31,anabeatriz,5.13169,1,2021-07-26 22:00:18 UTC
32,alexandrebvd,5.13169,1,2021-07-28 00:05:19 UTC
33,aseidel,5.13169,1,2021-07-29 22:20:41 UTC
34,Apurrencio,5.13169,1,2021-07-30 23:20:37 UTC
35,MVU,5.13169,1,2021-07-31 14:22:07 UTC
36,JuliKM,5.13169,1,2021-08-01 00:41:09 UTC
37,exsantucho,5.13169,1,2021-08-02 01:42:26 UTC
38,urobhi,5.13169,4,2021-08-02 03:44:08 UTC
39,Felipe Carneiro Wanderley,5.13169,1,2021-08-05 04:01:00 UTC
40,borgesmarc,5.13169,3,2021-08-05 20:11:19 UTC
41,joaquinfontela,5.13169,1,2021-08-05 23:33:13 UTC
42,larry96,5.13317,14,2021-08-02 01:50:46 UTC
43,abjimenez,5.15693,23,2021-08-02 05:31:24 UTC
44,fernandocamargo,5.19111,12,2021-08-05 11:38:18 UTC
45,fede_gr,5.26665,22,2021-07-24 00:47:47 UTC
46,eptos2,5.266830000000001,3,2021-08-02 02:47:04 UTC
47,Gus,5.3535699999999995,13,2021-08-05 01:09:50 UTC
48,lain,5.39712,2,2021-08-03 00:32:30 UTC
49,marck,5.456180000000001,7,2021-08-04 22:16:59 UTC
50,joaopeinado,5.4638599999999995,3,2021-07-16 18:32:29 UTC
51,rcmartinb,5.498,2,2021-07-16 17:50:51 UTC
52,datacuber,5.502619999999999,3,2021-07-27 03:53:00 UTC
53,ciroca,5.6466400000000005,2,2021-07-25 02:04:01 UTC
54,Gabo,5.6904900000000005,26,2021-08-05 15:24:56 UTC
55,thiagoflm,5.80738,1,2021-08-02 15:01:42 UTC
56,giba,6.05852,12,2021-08-05 18:01:27 UTC
57,amandoc,6.08827,2,2021-07-27 18:56:36 UTC
58,evertonaleixo,6.26524,5,2021-07-25 21:53:13 UTC
59,assuncaolfi,6.3257699999999994,2,2021-07-20 22:53:20 UTC
60,larri,6.357530000000001,1,2021-07-21 13:20:45 UTC
61,slportela,6.39931,1,2021-07-26 22:19:18 UTC
62,andre,6.45582,3,2021-07-24 15:54:05 UTC
63,gabrieljgimenez,6.55801,3,2021-08-04 01:27:36 UTC
64,lean_franco,6.61724,1,2021-07-21 22:29:05 UTC
65,gabrielmpaula,6.826569999999999,4,2021-07-23 00:13:06 UTC
66,raphidophora,7.22013,19,2021-07-26 23:37:53 UTC
67,giselecosta,7.2706800000000005,3,2021-08-04 01:32:31 UTC
68,GSichelero,7.59099,6,2021-08-05 22:16:03 UTC
69,mariofilho,7.59979,51,2021-08-05 14:00:08 UTC
70,Laika,7.71368,9,2021-08-05 23:43:58 UTC
71,LucaxZonin,7.909910000000001,1,2021-07-22 06:08:37 UTC
72,icecool,7.92362,2,2021-08-05 03:09:12 UTC
73,Bruno9tg,7.95723,27,2021-08-03 14:07:37 UTC
74,leocneves,8.11578,1,2021-07-17 22:34:03 UTC
75,r2,8.12473,2,2021-08-01 14:15:41 UTC
76,eduagarcia,8.40827,7,2021-07-21 00:44:42 UTC
77,ngaggion,8.43024,2,2021-07-19 13:30:27 UTC
78,vitaliset,8.5634,4,2021-07-27 02:30:28 UTC
79,gabrielguarisa,8.58993,3,2021-07-27 00:02:19 UTC
80,lux,9.08,3,2021-07-30 04:25:19 UTC
81,Ivo,9.58188,8,2021-08-05 12:30:02 UTC
82,nickel,9.889569999999999,8,2021-07-21 04:23:56 UTC
83,melifluo,9.9344,6,2021-08-03 23:39:02 UTC
84,Pablo,10.37507,7,2021-07-25 02:21:20 UTC
